name,n
Ilina,7
Stefanie,21
Maarjaliis,6
Käti,46
Suvi,7
Vika,24
Johan Erik,11
Heelika,26
Yakov,14
Eike,192
Eela,25
Elene,13
Andreas,1244
Talis,105
Väino,1151
Anne-Mai,177
Marie-Eliise,9
Deniel,51
Casper,22
Gren,19
Herta,133
Maria Elisabeth,18
Antoni,20
Asta,1543
Eva-Lotta,64
Elvira,512
Luisa,140
Tiia,2276
Georgi,918
Markos,53
Simmo,109
Tulvi,8
Anli,7
Miia-Mai,8
Karl-Hendrik,36
Anne Mai,10
Gagik,6
Gisela,38
Christina,117
Ksenja,65
Riana,19
Pamela,41
Maria-Elizabeth,7
Erelin,6
Miriam,65
Ellin,6
Deivid,72
Gerden,6
Rommy,10
Ivan,3333
Sima,7
Heimar,93
Karel,754
Elli,471
Sven Erik,22
Mervet,6
Rando,931
Maigrit,8
Gerhard,61
Lilja,121
Kuuno,69
Ardon,9
Harry,582
Elisaveta,39
Ado,152
Arsen,56
Doora,6
Amalie,8
Maanus,110
Liga,11
Sarmite,8
Armine,15
Ly,1013
Ilvi,86
Olvi,48
Salima,7
Ingeborg,28
Mailin,6
Marjeta,8
Elvar,10
Rūta,7
Andrej,43
Ingeri,9
Giovanni,11
Ljudmilla,2513
Aleks,548
Liivo,62
Marjanne,37
Harro,14
Torm,18
Velly,16
Heleryn,8
Kadriliis,9
Aado,114
Jarek,157
Hanna-Liis,40
Meliita,7
Leaanika,7
Aldin,8
Dina,327
Ludmila,81
Laura Helena,13
Maido,347
Liine,40
Hanna-Loore,29
Hedvi,16
Kustas,36
Eva-Kaisa,6
Janete,46
Kennet,146
Valentiina,15
Merli,381
Anneli,3437
Kiti,6
Aaron,263
Karlos,56
Loo,10
Rea,52
Kevyn,12
Tammo,12
Kristen,323
Rille,14
Lehi,6
Silleriin,9
Õile,15
Hiie,295
Germo,203
Matteus,18
Nataliya,246
Dimo,8
Janely,206
Olger,44
Nete,12
Zara,9
Arkadi,320
Alice,399
Nikolas,47
Venno,62
Hannaliina,6
Holden,18
Trine,8
Celine,15
Carlos,108
Arthur,236
Teemu,6
Filip,20
Konstantin,2192
Naim,6
Kerri,20
Marell,10
Enriko,94
Marcel,48
Katrina,225
Bosse,6
Rednar,16
Vardo,35
Hanna-Liisa,213
Halar,6
Kare,7
Kerto,27
Jessika,44
Elna,101
Hele,543
Amiran,11
André,27
Silvar,139
Ange,19
Slavik,12
Pertti,22
Märtin,28
Sofija,368
Kerli,1523
Isabel,320
Johan,234
Edeli,6
Ernst,97
Cathlyn,7
Kaimar,228
Kein,8
Eve-Mai,11
Kristi,3251
Anna-Liina,14
Gredi,7
Saale,76
Teevi,27
Anelle,64
Sören,77
Madli,426
Styna,6
Marlee,11
Amor,17
Evald,396
Ioanna,6
Isaac,13
Sergej,37
Dane,11
Eiri,11
Viivi,812
Joanna-Maria,7
Merja,23
Kenno,151
Argo,1361
Kata,12
Deniss,1525
Zarina,26
Mari-Mall,7
Ireena,7
Sandre,7
Eston,22
Aliis,103
Geiri,20
Aliina,38
Franko,13
Ainar,320
Paulina,39
Ranno,376
Karl-Heinrich,7
Marissa,30
Maio,7
Karli,265
Reilika,74
Avely,65
Jennyfer,10
Urvi,24
Õnneliis,9
Ingrit,156
Julian,46
Norbert,27
Sarra,12
Tannar,22
Aveli,126
Ed,6
Uudo,124
Tess,8
Jette,74
Andu,67
Brent,32
Vanda,108
Vambo,34
Sten-Erik,87
Jass,40
Ilona,1295
Margot,378
Pent,15
Ott-Sander,9
Eret,104
Andria,10
Verner,140
Alessandro,49
Helvis,7
Heido,68
Austra,10
Aido,14
Annabrit,6
Flora,22
Tomasz,13
Margut,7
Ketryn,6
Astrid,791
Bernhard,51
Kirli,16
Sam,7
Getter,447
Alo,551
Kalmet,13
Anastasija,589
Rosina,12
Ami,15
Enely,131
Cristella,24
Alena,156
Stein,10
Kristlyn,8
Yoko,8
Adeli,9
Tiina-Mai,15
Dianna,14
Taimo,257
Liisa,1560
Illi,41
Janel,30
Michael,162
Giorgi,41
Arsi,9
Egor,318
Evan,40
Kennert,83
Katri,512
Ove,162
Helmer,21
Ildar,33
Jagnar,11
Hugo Markus,8
Raiki,38
Romas,23
Liya,26
Katie,6
Olja,12
Guy,7
Iiris,191
Zlata,171
Gretlin,11
Ketevan,8
Nadežda,3847
Vasilina,31
Gediminas,10
Ilze,18
Terry,7
Raigi,6
Rajar,6
Carine,11
Karl-Johan,11
Getri,14
Mari-Leen,25
Jasper,274
Andris,235
Reile,6
Liilia,451
Hain,36
Iivo,28
Paolo,34
Andrejs,91
Vafa,6
Tamur,55
Sonya,10
Arlet,37
Romario,13
Lavrenti,14
Markus Oliver,9
Anzelika,25
Julia,4422
Fyodor,29
Ea,15
Madara,11
Taili,11
Villi,116
Inger,99
Stener,11
Kaarli,23
Maini,8
Annemai,62
Braian,27
Ieva,49
Rosa,25
Klim,52
Kelis,16
Hälis,26
Iivar,9
Jaanek,126
Ra,11
Karl-Toomas,6
Nil,11
Sulev,1221
Revo,147
Dilara,8
Jan-Marten,13
Eva-Mai,9
Jevsei,6
Ramon,210
Veranika,16
Paul Oskar,6
Laura Liis,33
Mari-Liis,1163
Frederik,96
Heldin,30
Mykola,249
Anne-Grete,8
Ulle,6
Eilike,21
Eron,21
Jari,10
Anna-Marie,17
Lehti,159
Vitalia,27
Doris,250
Federico,28
Alexey,1518
Daniel,1600
Egely,12
Kairo,141
Erti,21
Algi,34
Hannele,40
Richard,907
Levo,11
Keret,11
Harold,29
Orm,24
Cathrin,6
Dagne,51
Jordi,6
Leiki,13
Mari-Ly,37
Karl-Kristofer,8
Rina,23
Diego,25
Indres,6
Erica,21
Darja,1764
Jaen,10
Janelle,117
Svjatoslav,98
Vladimer,13
Kredi,6
Kalvin,43
Crislyn,13
Cerly,6
Galja,11
Rihards,13
Gerlin,76
Arli,72
Tuule,86
Felipe,7
Aimi,188
Vadim,2333
Ljuba,24
Reinhold,37
Therese,34
Irje,35
Aule,45
Isabell,25
Gabriel,252
Maris,1768
Rebeca,94
Maru,51
Handro,9
Dairi,15
Bogdana,12
Filipp,173
Valdo,451
Reta,16
Björn,30
Kätly,6
Juss,110
Annabell,62
Gennady,690
Caius,13
Uuno,156
Siivo,14
Gatis,17
Katriin,343
Keiju,9
Marjan,28
Egeth,6
Aldona,32
Marino,10
Lembit,2327
Hiljar,14
Ulrike,17
Amina,71
Evely,261
Edgar,890
Tuudur,7
Geio,13
Annete,8
Keisi,11
Alger,42
Annelii,78
Kalvar,21
Bärbel,26
Sara,57
Rikardo,15
Tessa,27
Anabel,56
Dajana,57
Meigo,43
Eedi,45
Eric,157
Getlyn,18
Lennart,313
Sonia,25
Leevi,73
Natalie,69
Elina,1464
Kris-Sten,11
Kätliin,17
Kadrin,45
Laurynas,6
Kaiko,24
Cathleen,12
Marku,6
Melisa,8
Iliana,12
Kardo,215
Sten-Marcus,10
Helis,199
Livika,7
Margitta,12
Aurelia,91
Jozef,9
Estin,8
Janette,58
Edvardas,8
Loore,342
Svea,139
Evgeniia,38
Mariza,6
Gerth,17
Kadriann,27
Iulia,6
Rebeka,234
Larysa,55
Arvet,147
Tairi,120
Aire,716
Grigor,7
Udo,296
Vjatšeslav,2092
Aeliita,6
Gerit,15
Karl Sander,24
Mairika,27
Nika,182
Heili,551
Pirko,19
Marleene,10
Bettina,6
Mikk,1211
Matilda,84
Nelli,623
Nataliia,138
Marja-Liisa,70
Ruut,9
Merille,10
Kerttu,463
Mari Ann,23
Peeter,4095
Ive,76
Rada,25
Serena,25
Henriko,23
Mihhail,3444
Ivetta,25
Kelian,16
Friedrich,25
Sviatlana,13
Reivo,48
Merlis,51
Kirils,9
Käthrin,6
Merino,6
Rihu,6
Ann-Mari,7
Greeteliis,6
Hilma,108
Heino,2028
Järvi,21
Liiljan,6
Gregori,31
Mia Mai,12
Hannaliisa,35
Anne-Liis,165
Bruno,317
Reine,63
Sarah,86
Aadu,275
Fredy,77
Avo,1146
Johanna-Liisa,12
Meeli,571
Stefi,23
Pirgit,86
Eve,3062
Kunnar,163
