Aulika,15,
Aulike,12,
Auliki,5,
Aulikki,5,
Aulis,,57
Aulo,,15
Aune,186,
Aureelia,12,
Aurel,,10
Aurelia,89,
Aurelie,22,
Aurelius,,5
Auri,15,7
Aurika,46,
Auris,,12
Aurora,32,
Ausma,10,
Austra,10,
Ava,5,
Ave,1537,
Ave-Liis,10,
Ave-Ly,24,
Ave-Mai,5,
Ave-Maria,11,
Ave-Marleen,12,
Aveli,126,
Aveliis,7,
Avelin,18,
Avelina,7,
Avely,65,
Averi,4,8
Avery,,5
Avo,,1151
Avrora,12,
Axel,,37
Aya,6,
Aylin,17,
Ayrton,,18
Aysel,7,
Azat,,9
Baiba,15,
Bairon,,11
Balázs,,6
Barbara,71,
Barbi,5,
Beata,36,
Beatrice,78,
Beatriz,12,
Bela,18,4
Belinda,11,
Bella,63,
Ben,,21
Bence,,5
Benita,64,
Benjamin,,66
Benno,,92
Berbel,5,
Beril,7,
Berit,490,
Berith,7,
Berk,,6
Berle,8,
Bernd,,8
Bernhard,,52
Bert,,105
Berta,89,
Bertha,19,
Beti,8,
Betti,33,
Bettina,6,
Betty,20,
Bianca,71,
Bianka,54,
Bibi,11,
Bilal,,6
Birge,6,
Birgit,1260,
Birgita,21,
Birgith,13,
Birgitt,5,
Birgitta,25,
Birjo,15,
Birk,,11
Birte,7,
Biruta,10,
Birute,9,
Björn,,30
Bogdan,,304
Bogdana,12,
Boleslav,,11
Boris,,1002
Boriss,,903
Borja,,5
Borys,,24
Bosse,,6
Braian,,27
Braien,,31
Brain,,15
Brait,,27
Brandon,,96
Brayan,,17
Brenda,98,
Brendon,,31
Brent,,32
Bret,21,8
Breth,4,4
Brett,7,12
Brette,5,
Brian,,28
Brianna,46,
Brigit,12,
Brigita,155,
Brigite,11,
Brigitha,7,
Brigitt,5,
Brigitta,185,
Brigitte,11,
Brit,90,
Brita,202,
Brith,6,
Britha,5,
Britt,93,
Britta,199,
Brittany,10,
Britte,10,
Britten,26,
Bronek,,10
Bruno,,313
Bryan,,21
Bärbel,26,
Cady,5,
Caius,,13
Calvin,,20
Cameron,4,4
Camila,6,
Camilla,51,
Cardo,,24
Carel,,16
Caren,5,
Cariina,5,
Carin,5,
Carina,87,
Carine,11,
Carinee,5,
Carita,30,
Carl,,124
Carl Andreas,,5
Carl Erik,,8
Carl Joosep,,6
Carl Markus,,6
Carl Robert,,12
Carl-Markus,,7
Carl-Martin,,12
Carl-Robert,,15
Carla,14,
Carles,,6
Carlo,,18
Carlos,,105
Carlotta,5,
Carmel,31,
Carmela,11,
Carmen,623,
Carmen Maria,5,
Carol,115,17
Carola,120,
Caroli,17,
Caroliina,26,
Carolin,214,
Carolina,157,
Caroline,91,
Caroly,46,
Carolyn,79,
Carolyna,7,
Carry,4,5
Casandra,11,
Caspar,,118
Casper,,22
Cassandra,94,
Catalina,8,
Caterina,9,
Catherine,30,
Cathleen,12,
Cathlyn,7,
Cathrin,6,
Cathy,55,
Catlin,18,
Catlyn,19,
Catrin,5,
Cecilia,12,
Ceitlyn,5,
Celia,21,
Celine,15,
Cerli,6,
Cerly,6,
Cetlin,6,
Cevin,,29
Charles,,5
Charlie,,7
Charlotte,23,
Chiara,18,
Chris,25,138
Chris-Sten,,5
Chrislin,15,
Chrislyn,10,
Christa,5,
Christel,48,
Christella,27,
Christelle,24,
Christer,,25
Christi,25,
Christian,,197
Christiana,7,
Christiane,7,
Christiin,6,
Christin,40,
Christina,117,
Christine,59,
Christjan,,17
Christo,,26
Christofer,,106
Christofer Robin,,7
Christoph,,18
Christopher,,184
Christos,,5
Christy,5,
Christyna,5,
Cindy,9,
Claid,,9
Claire,14,
Clara,13,
Claudia,129,
Claudio,,15
Clelia,6,
Clemet,,9
Cornelia,17,
Craig,,6
Cris,4,21
Crislyn,13,
Cristal,5,
Cristel,26,4
Cristella,24,
Cristelle,12,
Cristen,4,6
Crister,,8
Cristi,7,
Cristian,,51
Cristiana,7,
Cristiine,5,
Cristin,15,
Cristina,48,
Cristine,5,
Cristjan,,9
Cristo,,38
Cristofer,,83
Cristopher,,28
Cristy,6,
Crystal,15,
Cärol,40,
Cärolin,32,
Cäroly,28,
Cärolyn,14,
Cäthy,5,
Cätlin,40,
Cätlyn,29,
Cätriin,9,
David,,704
Den,,11
Diana,3219,
Daan,,5
Daaniel,4,40
Dace,18,
Dag,,8
Dagmar,317,4
Dagnar,,10
Dagne,51,
Dagni,19,
Dagny,10,
Dago,,6
Daiana,8,
Daile,11,
Daili,8,
Daily,23,
Daimar,,26
Daina,14,
Dainis,,21
Daire,23,
Dairi,14,4
Daisi,87,
Daisy,151,
Daiva,14,
Daivi,8,
Dajana,58,
Dalia,25,
Damian,,44
Damir,,217
Damira,7,
Dan,4,99
Dana,131,4
Dane,7,4
Danek,,14
Danel,,258
Dania,5,
Danial,,5
Daniel,4,1591
Daniela,127,
Daniele,,14
Daniell,4,8
Daniella,54,
Danielle,7,
Daniels,,10
Daniil,,1863
Danika,5,
Danil,,319
Danila,,200
Danilo,,9
Danis,,8
Danita,7,
Danja,4,4
Dannar,,5
Danny,4,6
Danuta,15,
Danute,18,
Danver,,13
Dargo,,6
Dari,,7
Daria,417,
Darian,,12
Dariia,7,
Darija,29,
Darina,256,
Dario,,31
Darius,,28
Dariya,15,
Darja,1764,
Darko,,9
Darleen,7,
Darya,43,
Daryna,9,
Dave,,10
David,,704
David Robert,,5
Davide,,21
Davy,,5
Dawid,,5
Dea,72,
Deana,22,
Deanna,7,
Deanne,7,
Debi,5,
Debora,26,
Deborah,9,
Deeli,5,
Deelia,15,
Deepak,,5
Deevi,7,4
Deili,26,
Deily,26,
Dein,,11
Deisi,21,
Deisy,27,
Deivi,65,4
Deivid,,72
Deivy,10,4
Delia,51,
Delis,22,4
Demi,22,4
Demjan,,30
Demo,,5
Demy,6,4
Den,,11
Deniel,,51
Denis,,1641
Denisa,6,
Denise,11,
Deniss,,1525
Denni,,10
Dennis,,47
Denys,,47
Derek,,67
Desiree,65,
Devi,4,4
Devid,,86
Devin,4,54
Diaana,7,
Diana,3219,
Diandra,36,
Diane,29,
Dianna,14,
Dianne,8,
Didzis,,5
Diego,,24
Dieter,,7
Diina,48,
Dilara,8,
Dima,4,5
Dimitri,,191
Dimitriy,,7
Dimo,,8
Dina,328,
Dinara,38,
Dinis,,10
Diogo,,6
Dirk,,9
Diāna,11,
Dmitri,4,6238
Dmitrii,,117
Dmitrij,,17
Dmitrijs,,47
Dmitriy,,113
Dmitry,,1063
Dmytro,,181
Dolores,25,
Domenico,,7
Dominic,,138
Dominik,4,102
Dominika,77,
Donald,,28
Donat,,26
Donatas,,11
Donna,6,
Doora,6,
Dora,21,
Dorel,18,
Dorian,4,13
Doris,250,
Dorit,6,
Dorothea,6,
Dorrit,11,
Douglas,,5
Dzintars,,11
Dzintra,20,
Džulia,7,
Ed,,6
Eli,57,6
Ea,14,4
Eba,6,
Ebe,147,
Ebe-Kai,11,
Ebeli,12,
Ed,,6
Eda,1107,
Edda,106,
Eddi,4,12
Eddie,,5
Eddy,8,12
Ede,78,
Edeli,6,
Eden,5,4
Edgar,,892
Edgaras,,5
Edgard,,21
Edgars,,59
Edi,12,13
Edik,,18
Edit,31,
Edita,31,
Edith,196,
Editha,5,
Edme,7,
Edmond,,18
Edmund,,32
Edna,30,
Edoardo,,12
Eduard,,2698
Eduardas,,8
Eduardo,,12
Edvard,,190
Edvardas,,8
Edvi,26,
Edvig,8,4
Edvika,7,
Edvin,,259
Edward,,126
Edwin,,38
Edy,4,4
Eedi,,45
Eedu,,5
Eela,25,
Eele,19,
Eeli,6,4
Eelika,83,
Eenok,,12
Eeri,,120
Eerich,,5
Eerik,,402
Eerika,176,
Eero,,688
Eesi,29,
Eetel,6,
Eeva,254,
Eeva-Liisa,21,
Eeva-Maria,17,
Eeve,31,
Eevi,1079,
Ege,169,4
Egel,4,4
Egeli,21,
Egely,12,
Eger,4,14
Egerd,,15
Egeri,4,4
Egeriin,5,
Egert,4,865
Egerth,,5
Eget,7,4
Egeth,6,
Egeti,4,4
Egge,19,
Eggert,,8
Egil,,6
Egle,720,
Egle-Riin,9,
Egli,5,
Eglis,4,5
Eglit,5,4
Eglė,6,
Egnar,4,6
Egne,99,
Egon,,484
Egor,,319
Egrit,4,5
Eha,2501,
Eha-Mai,12,
Ehte,20,
Ehtel,31,
Ehti,7,
Eili,157,
Eia,10,
Eidi,19,
Eigo,,107
Eija,10,
Eike,191,4
Eiki,4,112
Eiko,,100
Eileen,15,
Eili,157,
Eilika,26,
Eilike,21,
Eilin,8,
Eily,6,
Eimar,,98
Eimi,8,
Einar,,780
Einari,,30
Eini,14,21
Einike,44,
Eino,,498
Eire,13,
Eiri,11,
Eirik,,7
Eivar,,5
Eivi,11,
Eivo,,31
Ekaterina,1426,
Eke,4,27
Ekke,,96
Ela,24,
Elaire,7,
Elana,7,
Elar,,279
Elari,,178
Elary,,6
Elbe,59,
Eldar,,90
Elde,5,
Eldin,6,
Eldur,,186
Ele,293,
Ele-Liis,8,
Ele-Mai,6,
Ele-Riin,20,
Eleanor,84,
Eleanora,67,
Eleen,21,
Elen,357,
Elena,2827,
Elene,13,
Eleni,13,
Elenor,36,
Eleonoora,6,
Eleonor,12,
Eleonora,264,
Eleri,310,4
Eleriin,127,
Elerin,167,
Elery,67,
Eleryn,13,
Elfrida,117,
Elga,184,
Elge,27,
Elger,,18
Elgi,204,
Elgita,5,
Elhan,,5
Eli,57,6
Elina,1463,
Elia,4,4
Eliana,23,
Elias,,50
Eliina,54,
Eliine,7,
Eliis,255,
Eliisa,165,
Eliisabet,124,
Eliisabeth,28,
Eliisbet,8,
Eliisbeth,8,
Eliise,994,
Eliise-Marie,7,
Elika,85,
Eliko,56,
Elin,203,
Elina,1463,
Eline,6,
Elinor,41,
Elinora,10,
Elis,672,23
